uuid,type,city,pubMillis,street,x,y
69583a4c-e84a-47f1-b7c3-be9911a4ab32,POLICE,Puente Alto,1748386441000,Belén,-70.618709,-33.62984
2a91f9b5-fc85-4c82-9bf0-5992099da55d,JAM,Puente Alto,1748384909000,Caletera Poniente Autopista Acceso Sur,-70.599735,-33.617673
8c3fba79-b7dd-497c-9598-98d96fec465f,HAZARD,Puente Alto,1748385651000,Av. Sargento Menadier,-70.597993,-33.619827
e4cb7de0-1b3b-4fa4-aba3-233004bdb1fb,JAM,Puente Alto,1748385663000,Av. Concha y Toro,-70.573657,-33.621973
4099d22f-708b-49b6-bee6-ebc52a42de95,HAZARD,,1748195160000,Ruta G-380 / Camino Mallarauco,-70.972932,-33.605656
2c869d68-5f66-4a2d-869e-5c9fdf38b19d,ROAD_CLOSED,"Malloco, Peñaflor",1744739082000,Los Aromos,-70.876155,-33.614812
d6415246-4dc5-450e-b30a-7500683a196b,ROAD_CLOSED,"Malloco, Peñaflor",1744739082000,Los Aromos,-70.876663,-33.616679
b92fb8f4-b719-496c-b0dd-76392702960d,ROAD_CLOSED,"Malloco, Peñaflor",1744739082000,Los Aromos,-70.875938,-33.614047
e416498c-25a6-4e34-8be5-028376a13afb,ROAD_CLOSED,"Malloco, Peñaflor",1744739082000,Los Aromos,-70.876155,-33.614812
f35d4177-ca17-4644-a20f-e3425d651178,ROAD_CLOSED,"Malloco, Peñaflor",1744739082000,Los Aromos,-70.876047,-33.614422
15ce0302-2e79-4d89-959f-69de4d837d2b,ROAD_CLOSED,"Malloco, Peñaflor",1744739082000,Los Aromos,-70.876384,-33.615636
7180d6c3-27a6-47de-819d-91235ae35b57,ROAD_CLOSED,"Malloco, Peñaflor",1744739082000,Los Aromos,-70.876263,-33.615202
572c36ed-61be-4f8d-9c39-6a89476c25b5,ROAD_CLOSED,"Malloco, Peñaflor",1744739082000,Los Aromos,-70.876796,-33.617153
f9a9bb60-5db0-4300-a43b-87539bfcff41,ROAD_CLOSED,"Malloco, Peñaflor",1744739082000,Los Aromos,-70.876663,-33.616679
42358586-9935-40d6-9b91-ebb6a8f1a3a4,ROAD_CLOSED,"Malloco, Peñaflor",1744739082000,Los Aromos,-70.876796,-33.617153
d7a88b0d-0a57-47ab-87aa-2c0f34d11d6a,ROAD_CLOSED,"Malloco, Peñaflor",1744776629000,Los Olmos,-70.875204,-33.616932
7086ab75-a299-439c-9345-0b87e01f94f7,ROAD_CLOSED,"Malloco, Peñaflor",1744739082000,Los Aromos,-70.876047,-33.614422
d0480e78-cc5b-41ef-91cc-e164985da894,ROAD_CLOSED,"Malloco, Peñaflor",1744739082000,Los Aromos,-70.876384,-33.615636
2f6bfe62-0e90-4483-bc81-676e3ece49ed,ROAD_CLOSED,"Malloco, Peñaflor",1744739082000,Los Aromos,-70.875833,-33.613657
05bf6d37-a5df-43c4-8540-4e88e4996799,ROAD_CLOSED,"Malloco, Peñaflor",1744739082000,Los Aromos,-70.876499,-33.616095
e2da1606-e45a-44e3-b8e1-ba3b92af5fa2,ROAD_CLOSED,"Malloco, Peñaflor",1744739082000,Los Aromos,-70.876499,-33.616095
d25fddc8-58ec-4d2a-a318-637fd661bce9,ROAD_CLOSED,"Malloco, Peñaflor",1744776629000,Los Olmos,-70.875809,-33.616829
36040311-7e19-4bab-95d0-ddfd29e5810a,ROAD_CLOSED,"Malloco, Peñaflor",1744739082000,Los Aromos,-70.875938,-33.614047
78fb6cdf-98bd-4d51-97a9-87f3a5e60244,ROAD_CLOSED,"Malloco, Peñaflor",1744739082000,Los Aromos,-70.876263,-33.615202
ccfb2c6a-864b-460a-b2e5-a6eeebec3b56,JAM,"Malloco, Peñaflor",1748385282000,Av. Balmaceda,-70.854302,-33.606513
adbf39cc-0f57-4583-9ff8-b88cca6b0f4d,JAM,,1748385980000,Ruta G-30 / Camino a Lonquén,-70.789148,-33.605266
3c24e2d6-d82f-474c-8019-fd4eba425daf,HAZARD,,1748386339000,Autopista Central,-70.716201,-33.601788
b6ff5261-f8ad-428d-b6f7-69f1e0100ed4,JAM,San Bernardo,1748385593000,Camino El Barrancón,-70.718113,-33.612396
2d1fe341-caf5-48f8-9082-4c47f0d02a7d,JAM,San Bernardo,1748384979000,Av. Pdte. Jorge Alessandri Rodríguez,-70.715991,-33.611917
042ec9a4-3235-4554-8fdd-17ff9fb15447,JAM,San Bernardo,1748385980000,Av. Portales Oriente,-70.694632,-33.608795
56b46efb-4d17-478c-a59d-8b24742b414d,JAM,San Bernardo,1748386007000,Almirante Riveros,-70.693812,-33.612215
59ea9fb5-751a-49bc-8f7d-abb7e8b6815e,HAZARD,San Bernardo,1748381643000,Los Canelos,-70.694458,-33.617391
824bc186-7b4e-4a0d-abb1-743679075926,JAM,San Bernardo,1748385474000,Baquedano,-70.696304,-33.601306
d1fb54ae-76cc-4fe6-af20-9ae7fdc1e4a7,JAM,San Bernardo,1748385537000,Av. Portales Oriente,-70.694897,-33.60466
1653deb4-be3f-4062-9631-b47640d26ef8,JAM,San Bernardo,1748386013000,General Urrutia,-70.706608,-33.615769
5a03f264-0a95-48fb-ae58-e0dcc327f7f4,JAM,San Bernardo,1748385932000,General Urrutia,-70.70799,-33.615241
45534e5f-cb42-48a8-87d9-27fe98405bc0,JAM,San Bernardo,1748385337000,Baquedano,-70.697205,-33.599875
6c1e2110-15ef-4a52-bbfb-9ff682e806cf,JAM,San Bernardo,1748385817000,Francisco Bilbao,-70.696934,-33.600084
d932abd3-5a74-4e06-9b5f-09e3d23ef0b9,HAZARD,San Bernardo,1748381659000,Los Canelos,-70.694019,-33.617472
4f8ee15f-b902-4f50-b291-c51fab6551fd,JAM,San Bernardo,1748386501000,Av. Padre Hurtado,-70.681573,-33.600903
19cdfe04-3e73-4b30-9239-1738f4f21396,JAM,San Bernardo,1748385229000,Av. Padre Hurtado,-70.682292,-33.603696
b34f8716-1f01-455c-b38f-2019e6f8b582,HAZARD,San Bernardo,1748383784000,Almirante Riveros,-70.689784,-33.613812
804f52a5-9488-4ef4-9eea-09cadf6b1557,JAM,San Bernardo,1748386093000,Almirante Riveros,-70.6917,-33.612912
628fdde7-1795-4a44-82da-800736626e3e,JAM,La Pintana,1748385754000,Av. Santa Rosa,-70.626936,-33.607729
9efabf54-3d25-4bad-af66-312f40d5dcc4,HAZARD,Puente Alto,1748385980000,Caletera Acceso Sur,-70.605766,-33.599855
fc65e8bb-a737-4b81-82bb-d20e3b00af4f,POLICE,Puente Alto,1748386052000,Pasaje La Melisa,-70.600763,-33.613123
0500f1d3-9523-417b-ac6c-549a0a06d52a,CHIT_CHAT,,1748384765000,Ruta 79,-70.602816,-33.61099
40cb7248-bb88-448a-9e70-49b49091b3d4,HAZARD,Puente Alto,1748385855000,Caletera Acceso Sur,-70.605762,-33.599864
d0401799-cc87-4c97-9985-11cdaab4c922,JAM,Puente Alto,1748385350000,Av. Domingo Tocornal,-70.603548,-33.60631
c1d367f4-8090-4b20-a82b-44bbc8d21bc3,JAM,,1748383989000,Salida > Domingo Tocornal > Puente Alto,-70.604855,-33.603683
b0c48424-6d8e-4805-acf9-11b5b3299d5a,JAM,Puente Alto,1748386059000,Av. Domingo Tocornal,-70.57898,-33.603232
1e3c3a68-0de4-4cc0-9982-eef644f7bbdf,JAM,Puente Alto,1748386641000,Av. Concha y Toro,-70.57451,-33.617095
2bbb3ffa-ddf8-41af-a66d-0e7bce7c5a99,HAZARD,Puente Alto,1748359156000,Dr. Carlos Miranda,-70.58512,-33.608159
3f65331a-979b-41ce-9ccd-e98ea9e69a1f,JAM,Puente Alto,1748386675000,Av. Concha y Toro,-70.574464,-33.61735
61c418ea-64c6-4aa2-9ff1-fc7594b5bebd,HAZARD,Padre Hurtado,1748384864000,Av. San Ignacio,-70.809629,-33.582812
47013972-b12e-42f4-8d81-8c2e94415cfa,JAM,San Bernardo,1748386459000,San José,-70.697993,-33.597511
c8742cf6-cb7c-437b-9730-7e6d7722f21e,JAM,San Bernardo,1748386553000,Urmeneta,-70.705532,-33.589153
a914491f-c3a1-438c-96be-c82562bf893d,JAM,San Bernardo,1748385418000,Francisco Bilbao,-70.695397,-33.59936
3e8b7c56-b1a3-4edf-b477-8d14ed982ed0,JAM,San Bernardo,1748385516000,Abraham Prado Marín,-70.695525,-33.592764
a6dd9b55-f5fe-418d-8d54-4d6fc56b4dba,JAM,San Bernardo,1748385893000,Barros Arana,-70.699918,-33.59739
7f74fe7b-d580-44c1-a366-6cc73dfef7b9,JAM,San Bernardo,1748386335000,Patria Nueva,-70.709584,-33.587785
d9754738-5421-4155-9a50-e7eaa8fb7598,JAM,San Bernardo,1748386398000,Urmeneta,-70.705306,-33.588545
c6f0bb43-e828-4b72-9772-ba32b88fc66b,JAM,San Bernardo,1748385801000,Av. Colón Norte,-70.700327,-33.590502
5f93f837-d415-412f-8bf4-530aec6b03b7,JAM,San Bernardo,1748386103000,Francisco Aranda,-70.706182,-33.588433
4b78ed09-097a-42ad-903b-348d051b1a6d,JAM,San Bernardo,1748385973000,Av. Colón Sur,-70.69817,-33.591312
ff9a0dbd-b083-4395-8498-469971e9ec7b,HAZARD,La Pintana,1748386721000,Paicaví,-70.65851,-33.597514
6050e060-5191-4364-869e-c088d22a6e8d,JAM,La Pintana,1748386721000,Av. San Francisco,-70.663515,-33.586343
15742fd1-3429-4f4e-9fbf-a693a258c5c2,HAZARD,La Pintana,1748378207000,Tucapel,-70.64226,-33.588913
ea800110-d053-462d-9526-9e41695318e4,JAM,Puente Alto,1748384132000,Caletera Acceso Sur,-70.609651,-33.584555
689b6d1c-ce42-4b4c-8abd-762e8ed68ea1,HAZARD,La Pintana,1748380676000,La Primavera,-70.611525,-33.594714
f37371ad-3375-402b-b421-a2a54b3d95d8,JAM,La Pintana,1748384753000,Av. Gabriela,-70.616362,-33.584049
5bee27c6-0853-4af0-9030-89f2c4c21d26,JAM,La Pintana,1748384908000,Juanita,-70.619677,-33.583199
f0c17d3d-1a03-4698-aaec-9899f2dc406d,HAZARD,La Pintana,1747399963000,El Ombú,-70.614859,-33.594319
d2cd1424-9fa5-47a7-a0c7-b63bad685124,HAZARD,La Pintana,1748385782000,Av. Gabriela,-70.61916,-33.58433
5fe4b8bc-b7ed-42da-8869-cf8fbf0e727c,HAZARD,La Pintana,1748384596000,Calle 6,-70.610677,-33.597159
d2c6ce81-9529-4fd6-a033-b7cd82109951,HAZARD,La Pintana,1748386162000,Av. Gabriela,-70.613831,-33.583694
d38a6ec7-2995-48d1-af09-eb91a0c4831e,HAZARD,La Pintana,1748385888000,Av. Gabriela,-70.618395,-33.584225
76cb6dce-df2f-4ede-b322-8823aa303d21,HAZARD,La Pintana,1748381383000,Av. Gabriela,-70.619823,-33.584419
1ce82529-4280-486a-bf67-a12a6fdff355,JAM,Puente Alto,1748384440000,Caletera Acceso Sur,-70.609761,-33.583498
9549f249-8235-4fdb-b027-cc24fab07d69,JAM,,1748385221000,Ruta 79,-70.606662,-33.598434
d49f3737-f5ae-4d6e-b3c6-bda9341b5ec3,JAM,Puente Alto,1748386263000,Av. Jorge Ross Ossa,-70.593992,-33.596441
96282aa1-1ee8-4b09-a184-1a8d1c8bc35e,JAM,Puente Alto,1748385227000,Av. Jorge Ross Ossa,-70.595449,-33.597137
c4efc601-bc03-4cb3-a078-5c963d8c128b,HAZARD,Puente Alto,1747251360000,,-70.577444,-33.599418
9e633b37-85d2-45af-bb08-8d2c1080b766,HAZARD,Puente Alto,1748382299000,Nonato Coo,-70.567323,-33.589689
1a3763d7-5716-403b-913c-ca9086449f17,HAZARD,Puente Alto,1748385431000,Av. Troncal San Francisco,-70.566496,-33.582989
0313ac01-3784-404e-8a3d-33d8b9fb436b,POLICE,Puente Alto,1748385807000,Coquimbo,-70.585517,-33.591013
a1e14541-a271-4b60-a092-c142ed4b194d,JAM,Puente Alto,1748385334000,Av. San Carlos,-70.545357,-33.594444
cef71673-4e6d-425d-b500-ec0a834a45e2,JAM,Puente Alto,1748386575000,Cardenal Oviedo,-70.552512,-33.596226
533daedd-8413-40e3-bde6-8c6405b738b0,HAZARD,,1748371064000,Ruta G-380 / Camino Mallarauco,-71.106528,-33.5702
7aa5caa2-ee7d-495d-acbc-bba18d91ed60,HAZARD,,1748124323000,Ruta G-380 / Camino Mallarauco,-71.109131,-33.569818
2fd45d00-14b0-4fb6-961b-95d3a37f5377,HAZARD,,1748371936000,Ruta G-380 / Camino Mallarauco,-71.039443,-33.580344
63300639-1590-4320-bf59-9424171fc824,HAZARD,,1748385373000,Ruta 78,-70.848765,-33.579085
4ef4e72e-abcf-4461-82c8-b89586adf85b,POLICE,,1748386261000,Ruta 76 / Camino San Alberto Hurtado,-70.814807,-33.568767
2076cb67-598c-4f60-a5e9-4eb0fdeb42ad,JAM,,1748384969000,Ruta 76 / Camino San Alberto Hurtado,-70.814619,-33.568618
245563fc-a35a-4b3b-8d39-805ec3d45ef0,HAZARD,Padre Hurtado,1748378276000,El Manzano,-70.810091,-33.566994
0cc14a51-725e-4b71-942d-c947b14bd276,HAZARD,Padre Hurtado,1748366875000,Av. San Ignacio,-70.811567,-33.579446
623531aa-7ce7-4a8d-ae46-936c5583f81e,HAZARD,Padre Hurtado,1748366793000,Av. San Ignacio,-70.810378,-33.581524
26126975-dfc8-4ed6-bb22-7263eace06e7,POLICE,Padre Hurtado,1748386640000,José Luis Caro,-70.817652,-33.567003
5a49192f-d7a7-4d62-98b6-297bcb300a83,HAZARD,Padre Hurtado,1748366860000,Av. San Ignacio,-70.811378,-33.579783
ecafa55d-cea9-404a-bb87-d3fb666e912b,HAZARD,Padre Hurtado,1748374948000,Av. San Ignacio,-70.81198,-33.578751
76b36aba-9acd-47ac-bf97-3f9f98944a15,HAZARD,Padre Hurtado,1748381822000,Av. San Ignacio,-70.811981,-33.578751
e5c1c376-57f8-4739-a8b6-96f92af64c25,HAZARD,Padre Hurtado,1748346012000,Av. San Ignacio,-70.810363,-33.58155
92976b23-df95-4a06-a749-e70a3c7ce493,POLICE,San Bernardo,1748386193000,Arturo Gordon,-70.706939,-33.565788
f9bfefdc-a533-4608-8dfd-765d0a963c40,JAM,San Bernardo,1748385548000,Av. Lo Blanco,-70.698522,-33.573936
06808782-73a2-4d6e-8c61-34ee3315a48d,HAZARD,El Bosque,1748385836000,Av. Lo Blanco,-70.69519,-33.575299
5ef4e512-9f92-4ddd-b3a8-be31255f27a9,POLICE,San Bernardo,1748386438000,Las Vertientes,-70.704016,-33.569654
b05d0770-5328-4f71-89fa-c5411824b45d,HAZARD,San Bernardo,1748386466000,Av. Ochagavía,-70.69711,-33.563603
964684ec-d82d-40ea-984b-a1473f2da5a1,HAZARD,San Bernardo,1748386454000,Av. Ochagavía,-70.696764,-33.563985
bf99c705-7f34-4ffd-b9ec-e48174bf870c,HAZARD,San Bernardo,1748386698000,Av. Lo Blanco,-70.70292,-33.573031
061c04b3-692f-4dfb-b546-b3f786519923,JAM,San Bernardo,1748385473000,Av. Pdte. Jorge Alessandri Rodríguez,-70.71159,-33.56514
84d5fc63-598e-4b96-9d32-d8cf13dc91bd,HAZARD,San Bernardo,1748386744000,Av. Lo Blanco,-70.70204,-33.573022
c260cf73-0ddd-4156-bf59-8d3884186cff,JAM,San Bernardo,1748386582000,Av. Ochagavía,-70.698736,-33.568389
2b8ce262-c907-4c51-8b3e-c3b2a1d17ef0,JAM,San Bernardo,1748384045000,Av. Lo Blanco,-70.692626,-33.576263
f0e5b1fb-00c9-4508-b669-7b5abf8bba47,POLICE,El Bosque,1748385483000,Av. Lo Martínez,-70.662609,-33.573317
5a0dbfca-1a97-4624-957c-6d983d8a79ee,POLICE,La Pintana,1748385979000,Corredor transporte público Santa Rosa,-70.630298,-33.566128
5123bd3e-e3ff-4730-99c7-fbf2d127563b,HAZARD,La Pintana,1748386300000,Av. Lo Martínez,-70.648017,-33.575462
75b8fd50-bba0-49b5-817f-841b72628e1b,JAM,Puente Alto,1748386599000,Av. Gabriela Poniente,-70.593347,-33.580888
9a26094d-4dd5-483b-8289-8a0004cfbd6c,HAZARD,Puente Alto,1748307689000,Bahía Fitz Roy,-70.602425,-33.57311
35852e51-a902-4891-996e-fc16c8a7d4fc,HAZARD,Puente Alto,1748368719000,Av. Gabriela Poniente,-70.58456,-33.579576
138a54d0-512c-435d-bebf-6a69de6bdccf,JAM,Puente Alto,1748385276000,Av. Troncal San Francisco,-70.579276,-33.575821
b7970300-08e3-43a7-8a21-f08c03942d4f,CHIT_CHAT,Puente Alto,1748385072000,Av. Gabriela Oriente,-70.569718,-33.576691
46aee01a-6e34-4303-96f0-ac0f78e10ef4,POLICE,Puente Alto,1748385805000,Retorno,-70.583123,-33.571822
25d2df57-7197-4eb9-ab67-4f705578252d,HAZARD,Puente Alto,1748040331000,Pasaje Roma,-70.571982,-33.573769
aea2570c-ae89-4c93-a0bc-f3e66f1c258e,HAZARD,Puente Alto,1748386102000,Martín Pescador,-70.56607,-33.571066
200e1d77-007d-4f8e-8539-05628de9d0fe,JAM,Puente Alto,1748385917000,Av. Los Toros,-70.5661,-33.567371
33b5bffc-4993-481a-a7a4-565806f21427,JAM,Puente Alto,1748386729000,Av. Camilo Henríquez,-70.555024,-33.563788
01443d27-e8c7-4c44-89f5-d80033f32da0,JAM,Puente Alto,1748386213000,Av. El Peral,-70.552542,-33.570918
3fe26bda-5289-41db-afe1-6d51d1dc9f81,JAM,Puente Alto,1748383547000,Av. Camilo Henríquez,-70.555279,-33.564675
4bb6c2e0-b6c6-437f-8e8c-4c422acaafd4,JAM,Puente Alto,1748385474000,Av. Camilo Henríquez,-70.554939,-33.573666
3186c4eb-5dbb-425c-9f59-3b40ecff9118,JAM,Puente Alto,1748383564000,Av. El Peral,-70.553758,-33.570742
515cac45-c8eb-4386-ae05-1a93defc8103,JAM,Puente Alto,1748384753000,Av. Camilo Henríquez,-70.554475,-33.568799
782403b0-dd8f-4bc7-9bde-1c047cdd66ec,JAM,Puente Alto,1748384738000,Av. El Peral,-70.549036,-33.572107
195b1746-977e-49d3-b1c6-fa91edf56172,CHIT_CHAT,Puente Alto,1748385534000,Av. Camilo Henríquez,-70.55064,-33.580198
33f36290-ac25-4b0f-84e3-16063374a6a3,CHIT_CHAT,Puente Alto,1748385454000,Av. Camilo Henríquez,-70.55511,-33.56464
51ce438f-a0f4-4458-b4c4-49a982c58f6b,CHIT_CHAT,Puente Alto,1748385082000,Av. Camilo Henríquez,-70.554808,-33.566611
eff5db76-1b39-416b-ab0d-ecb6e5be07c7,CHIT_CHAT,Puente Alto,1748386141000,Av. Camilo Henríquez,-70.55326,-33.576262
fa7b703b-b682-4e87-823f-72ee568f9717,JAM,Puente Alto,1748386756000,Av. El Peral,-70.556879,-33.571612
b1bf5fdb-c2af-4c99-9d26-c117a4afdaf2,JAM,Puente Alto,1748385106000,Av. Camilo Henríquez,-70.553486,-33.575858
9103c22d-0c14-4966-9b8e-1702730c63f8,HAZARD,Padre Hurtado,1748386127000,,-70.828067,-33.55978
fbb35fe6-a986-4ba9-b8d7-7bf645d92607,HAZARD,Padre Hurtado,1748386547000,Acceso Autopista del Sol > Santiago,-70.829445,-33.560078
100da96b-c2c8-4624-af0d-1ec58819d1b1,JAM,,1748385899000,Ruta 78,-70.811752,-33.551741
a882fc55-8ef8-493e-bb64-1c4be7a1102d,ROAD_CLOSED,Padre Hurtado,1731611199000,Av. Santa Leonor,-70.807189,-33.562795
f127b50e-a62e-4b45-9fe5-92a072eaac22,JAM,,1748385134000,Ruta 78,-70.817656,-33.554537
9cea8ca6-899e-4f15-ac09-dcfc185c0405,ROAD_CLOSED,Padre Hurtado,1731611199000,Av. Santa Leonor,-70.809294,-33.560919
3d89260b-ffc1-46c4-9cec-6e4ddb75956d,HAZARD,Santa Rosa de Chena,1748281748000,Villa Tupahue,-70.799026,-33.56236
203512b4-7b2a-4709-9225-15460078473e,HAZARD,Maipú,1748304303000,Quilín,-70.762455,-33.550359
7b4e045b-15b2-4731-96e1-477b88867ca5,JAM,,1748385214000,Ruta G-30 / Camino a Lonquén,-70.746372,-33.547336
07045ab5-cf9b-441f-a3c9-a3b3395e4c0a,POLICE,San Bernardo,1748385724000,Rinconada de Chena,-70.749481,-33.559161
2f7a7397-7028-4d7d-9e30-1d4578ccbf88,POLICE,San Bernardo,1748386129000,Av. Las Acacias,-70.71624,-33.558251
f6ba3aa1-db7f-4d00-9a2f-d68d622b2811,HAZARD,San Bernardo,1748373978000,Av. Puerta Sur,-70.716052,-33.550817
74fdff66-edcf-4b38-b873-fdeee6f83e40,HAZARD,San Bernardo,1748385509000,Av. Las Acacias,-70.724325,-33.55512
2ee59a99-93b6-473d-b4d1-918c2bdeed86,POLICE,San Bernardo,1748385663000,Av. de Chena,-70.716832,-33.557997
b42407ba-4be3-42f3-aa37-ce1c48d6dc9c,JAM,,1748384797000,Autopista Central - Eje Gral. Velásquez,-70.708462,-33.546304
35c3c3cf-6419-4e2b-b740-53f2752e636a,JAM,San Bernardo,1748386589000,Av. Ochagavía,-70.695723,-33.557034
7e26b702-aaf2-425a-ba9a-80db0a01e9fd,HAZARD,San Bernardo,1748377037000,Av. Ochagavía,-70.695896,-33.557835
b6fa3ecd-548c-4f80-b505-727d04102903,JAM,,1748385075000,Autopista Central - Eje Gral. Velásquez,-70.709187,-33.551243
7f901060-68a2-4ba8-a710-561efcb9cfbf,HAZARD,San Bernardo,1748383402000,Av. Puerta Sur,-70.711007,-33.552982
b5896e03-f9af-4f55-8a61-fa730a14be99,HAZARD,San Bernardo,1748380377000,Santa Margarita,-70.710785,-33.546856
dca2ec60-40ef-4b90-9991-aac5c043dfcd,ACCIDENT,El Bosque,1748385705000,,-70.691836,-33.55582
5a484b5f-ba9c-4684-9de0-9778aeb0a8ca,ROAD_CLOSED,El Bosque,1748385611000,Víctor Plaza Mayorga,-70.677815,-33.547963
7d89293b-8319-4356-95b3-46eb8de72de4,HAZARD,El Bosque,1748356263000,Agustín Calderón Rojas,-70.674855,-33.563232
46a38b3d-7c44-49a7-a579-ac11129fccb5,POLICE,El Bosque,1748386318000,Av. Padre Hurtado,-70.669909,-33.557932
605018ca-6eda-4328-a336-9c920be887a6,HAZARD,El Bosque,1748345713000,Las Araucarias,-70.6582,-33.560854
93355709-41b6-4ee9-92e4-5eae074ec788,JAM,La Pintana,1748385266000,Av. San Francisco,-70.657038,-33.563348
2a3e444e-da9f-47f7-8758-2c2c9967830f,ROAD_CLOSED,La Cisterna,1729275367000,Ernesto Riquelme,-70.667899,-33.545833
672db7f6-f934-431b-9414-23b6f32cb322,HAZARD,La Pintana,1748385332000,Av. San Francisco,-70.656958,-33.563048
24c9a3c3-747f-4d93-8641-5c72449d9b89,HAZARD,La Pintana,1748385294000,Av. San Francisco,-70.656958,-33.56305
d3eeb48b-e5e3-43f7-bb60-80b7372ea3cb,JAM,La Pintana,1748386387000,Av. Observatorio,-70.655262,-33.562687
65dbc978-89c9-4f90-84a2-61e6eaaf4c3e,JAM,La Pintana,1748386426000,Av. Observatorio,-70.655959,-33.562462
955d9e7b-0abe-4f1a-9ea3-300819b3312b,ROAD_CLOSED,El Bosque,1748384775000,1 Sur,-70.65681,-33.55245
d439d335-aaf1-4c90-8077-a39c294e702d,CHIT_CHAT,San Ramón,1748385136000,Av. Santa Rosa,-70.633428,-33.54724
